"cds_id","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054017986.1_1377",NA,"ABFT21_RS06945","M48 family metallopeptidase","WP_054017986.1"
"lcl_NZ_CP166677.1_cds_WP_054017987.1_1378","orn","ABFT21_RS06950","oligoribonuclease","WP_054017987.1"
"lcl_NZ_CP166677.1_cds_WP_054017988.1_1379",NA,"ABFT21_RS06955","DUF2087 domain-containing protein","WP_054017988.1"
"lcl_NZ_CP166677.1_cds_WP_082367730.1_1380",NA,"ABFT21_RS06960","DEAD/DEAH box helicase","WP_082367730.1"
"lcl_NZ_CP166677.1_cds_WP_054017989.1_1381",NA,"ABFT21_RS06965","DUF3429 domain-containing protein","WP_054017989.1"
"lcl_NZ_CP166677.1_cds_WP_054017990.1_1382",NA,"ABFT21_RS06970","M61 family metallopeptidase","WP_054017990.1"
"lcl_NZ_CP166677.1_cds_WP_054017991.1_1383",NA,"ABFT21_RS06975","DUF3108 domain-containing protein","WP_054017991.1"
"lcl_NZ_CP166677.1_cds_WP_054017992.1_1384",NA,"ABFT21_RS06980","enoyl-CoA hydratase","WP_054017992.1"
"lcl_NZ_CP166677.1_cds_WP_157548396.1_1385",NA,"ABFT21_RS06985","hypothetical protein","WP_157548396.1"
"lcl_NZ_CP166677.1_cds_WP_054017994.1_1386",NA,"ABFT21_RS06990","hypothetical protein","WP_054017994.1"
"lcl_NZ_CP166677.1_cds_WP_054017995.1_1387",NA,"ABFT21_RS06995","MSCRAMM family protein","WP_054017995.1"
"lcl_NZ_CP166677.1_cds_WP_054017996.1_1388",NA,"ABFT21_RS07000","hypothetical protein","WP_054017996.1"
"lcl_NZ_CP166677.1_cds_WP_082367731.1_1389","lysS","ABFT21_RS07005","lysine--tRNA ligase","WP_082367731.1"
"lcl_NZ_CP166677.1_cds_WP_054017997.1_1390",NA,"ABFT21_RS07010","acyltransferase","WP_054017997.1"
"lcl_NZ_CP166677.1_cds_WP_054017998.1_1391",NA,"ABFT21_RS07015","glycosyltransferase","WP_054017998.1"
"lcl_NZ_CP166677.1_cds_WP_082367744.1_1392",NA,"ABFT21_RS07020","TylF/MycF/NovP-related O-methyltransferase","WP_082367744.1"
"lcl_NZ_CP166677.1_cds_WP_197284514.1_1393",NA,"ABFT21_RS07025","oligosaccharide flippase family protein","WP_197284514.1"
"lcl_NZ_CP166677.1_cds_WP_054018001.1_1394",NA,"ABFT21_RS07030","hypothetical protein","WP_054018001.1"
"lcl_NZ_CP166677.1_cds_WP_054018002.1_1395",NA,"ABFT21_RS07035","glycosyltransferase","WP_054018002.1"
"lcl_NZ_CP166677.1_cds_WP_054018003.1_1396",NA,"ABFT21_RS07040","glycosyltransferase family 2 protein","WP_054018003.1"
"lcl_NZ_CP166677.1_cds_WP_231637952.1_1397",NA,"ABFT21_RS07045","class I SAM-dependent methyltransferase","WP_231637952.1"
"lcl_NZ_CP166677.1_cds_WP_054018004.1_1398",NA,"ABFT21_RS07050","DegT/DnrJ/EryC1/StrS family aminotransferase","WP_054018004.1"
"lcl_NZ_CP166677.1_cds_WP_054018038.1_1399",NA,"ABFT21_RS07055","sugar transferase","WP_054018038.1"
"lcl_NZ_CP166677.1_cds_WP_054018005.1_1400",NA,"ABFT21_RS07060","polysaccharide biosynthesis protein","WP_054018005.1"
"lcl_NZ_CP166677.1_cds_WP_054018006.1_1401",NA,"ABFT21_RS07065","MraY family glycosyltransferase","WP_054018006.1"
"lcl_NZ_CP166677.1_cds_WP_054018007.1_1402",NA,"ABFT21_RS07070","secretin N-terminal domain-containing protein","WP_054018007.1"
"lcl_NZ_CP166677.1_cds_WP_054018008.1_1403",NA,"ABFT21_RS07075","hypothetical protein","WP_054018008.1"
"lcl_NZ_CP166677.1_cds_WP_054018009.1_1404",NA,"ABFT21_RS07080","hypothetical protein","WP_054018009.1"
"lcl_NZ_CP166677.1_cds_WP_157548400.1_1405",NA,"ABFT21_RS07085","hypothetical protein","WP_157548400.1"
"lcl_NZ_CP166677.1_cds_WP_054018011.1_1406",NA,"ABFT21_RS07090","type II secretion system minor pseudopilin","WP_054018011.1"
"lcl_NZ_CP166677.1_cds_WP_054018012.1_1407",NA,"ABFT21_RS07095","PilW family protein","WP_054018012.1"
"lcl_NZ_CP166677.1_cds_WP_082367735.1_1408",NA,"ABFT21_RS07100","type II secretion system protein","WP_082367735.1"
"lcl_NZ_CP166677.1_cds_WP_054018014.1_1409",NA,"ABFT21_RS07105","prepilin-type N-terminal cleavage/methylation domain-containing protein","WP_054018014.1"
"lcl_NZ_CP166677.1_cds_WP_054018039.1_1410","gspG","ABFT21_RS07110","type II secretion system major pseudopilin GspG","WP_054018039.1"
"lcl_NZ_CP166677.1_cds_WP_054018015.1_1411",NA,"ABFT21_RS07115","type II secretion system F family protein","WP_054018015.1"
"lcl_NZ_CP166677.1_cds_WP_157548403.1_1412",NA,"ABFT21_RS07120","hypothetical protein","WP_157548403.1"
"lcl_NZ_CP166677.1_cds_WP_157548406.1_1413",NA,"ABFT21_RS07125","hypothetical protein","WP_157548406.1"
"lcl_NZ_CP166677.1_cds_WP_054018018.1_1414",NA,"ABFT21_RS07130","GspE/PulE family protein","WP_054018018.1"
"lcl_NZ_CP166677.1_cds_WP_463938064.1_1415",NA,"ABFT21_RS07135","acyltransferase family protein","WP_463938064.1"
"lcl_NZ_CP166677.1_cds_WP_054020966.1_1416",NA,"ABFT21_RS07140","glycosyltransferase family 9 protein","WP_054020966.1"
"lcl_NZ_CP166677.1_cds_WP_054020965.1_1417",NA,"ABFT21_RS07145","glycosyltransferase WbsX family protein","WP_054020965.1"
"lcl_NZ_CP166677.1_cds_WP_197284676.1_1418",NA,"ABFT21_RS07150","glycosyltransferase","WP_197284676.1"
"lcl_NZ_CP166677.1_cds_WP_054020963.1_1419",NA,"ABFT21_RS07155","glycosyltransferase family 4 protein","WP_054020963.1"
"lcl_NZ_CP166677.1_cds_WP_054020962.1_1420",NA,"ABFT21_RS07160","class I SAM-dependent methyltransferase","WP_054020962.1"
"lcl_NZ_CP166677.1_cds_WP_054020961.1_1421",NA,"ABFT21_RS07165","hypothetical protein","WP_054020961.1"
"lcl_NZ_CP166677.1_cds_WP_054020960.1_1422",NA,"ABFT21_RS07170","glycosyltransferase","WP_054020960.1"
"lcl_NZ_CP166677.1_cds_WP_157549016.1_1423",NA,"ABFT21_RS07175","glycosyltransferase family 4 protein","WP_157549016.1"
"lcl_NZ_CP166677.1_cds_WP_054020958.1_1424",NA,"ABFT21_RS07180","NAD-dependent epimerase/dehydratase family protein","WP_054020958.1"
"lcl_NZ_CP166677.1_cds_WP_197284675.1_1425",NA,"ABFT21_RS07185","lipopolysaccharide biosynthesis protein","WP_197284675.1"
"lcl_NZ_CP166677.1_cds_WP_305778295.1_1426",NA,"ABFT21_RS07190","acyltransferase","WP_305778295.1"
"lcl_NZ_CP166677.1_cds_WP_157549010.1_1427",NA,"ABFT21_RS07195","hypothetical protein","WP_157549010.1"
"lcl_NZ_CP166677.1_cds_WP_054020955.1_1428",NA,"ABFT21_RS07200","SGNH/GDSL hydrolase family protein","WP_054020955.1"
"lcl_NZ_CP166677.1_cds_WP_054020954.1_1429","gmd","ABFT21_RS07205","GDP-mannose 4,6-dehydratase","WP_054020954.1"
"lcl_NZ_CP166677.1_cds_WP_054020953.1_1430",NA,"ABFT21_RS07210","DNA ligase","WP_054020953.1"
"lcl_NZ_CP166677.1_cds_WP_054020952.1_1431",NA,"ABFT21_RS07215","TIGR00266 family protein","WP_054020952.1"
"lcl_NZ_CP166677.1_cds_WP_369691154.1_1432",NA,"ABFT21_RS07220","YncE family protein","WP_369691154.1"
"lcl_NZ_CP166677.1_cds_WP_082368389.1_1433",NA,"ABFT21_RS07225","polysaccharide deacetylase family protein","WP_082368389.1"
"lcl_NZ_CP166677.1_cds_WP_054020951.1_1434",NA,"ABFT21_RS07230","sialate O-acetylesterase","WP_054020951.1"
"lcl_NZ_CP166677.1_cds_WP_054020950.1_1435",NA,"ABFT21_RS07235","sterol desaturase family protein","WP_054020950.1"
"lcl_NZ_CP166677.1_cds_WP_054020949.1_1436",NA,"ABFT21_RS07240","EI24 domain-containing protein","WP_054020949.1"
"lcl_NZ_CP166677.1_cds_WP_054020948.1_1437",NA,"ABFT21_RS07245","competence/damage-inducible protein A","WP_054020948.1"
"lcl_NZ_CP166677.1_cds_WP_054020947.1_1438","glnA","ABFT21_RS07250","type I glutamate--ammonia ligase","WP_054020947.1"
"lcl_NZ_CP166677.1_cds_WP_054020946.1_1439",NA,"ABFT21_RS07255","hypothetical protein","WP_054020946.1"
"lcl_NZ_CP166677.1_cds_WP_082368387.1_1440","glnL","ABFT21_RS07260","nitrogen regulation protein NR(II)","WP_082368387.1"
"lcl_NZ_CP166677.1_cds_WP_054020945.1_1441","ntrC","ABFT21_RS07265","nitrogen regulation protein NR(I)","WP_054020945.1"
"lcl_NZ_CP166677.1_cds_WP_054020944.1_1442","xth","ABFT21_RS07270","exodeoxyribonuclease III","WP_054020944.1"
"lcl_NZ_CP166677.1_cds_WP_082368386.1_1443",NA,"ABFT21_RS07275","GntR family transcriptional regulator","WP_082368386.1"
"lcl_NZ_CP166677.1_cds_WP_054020943.1_1444",NA,"ABFT21_RS07280","alpha/beta hydrolase domain-containing protein","WP_054020943.1"
"lcl_NZ_CP166677.1_cds_WP_054020942.1_1445",NA,"ABFT21_RS07285","hypothetical protein","WP_054020942.1"
"lcl_NZ_CP166677.1_cds_WP_480338888.1_1446",NA,"ABFT21_RS07290","thermostable hemolysin","WP_480338888.1"
"lcl_NZ_CP166677.1_cds_WP_054020940.1_1447",NA,"ABFT21_RS07295","AMP-binding protein","WP_054020940.1"
"lcl_NZ_CP166677.1_cds_WP_054020939.1_1448",NA,"ABFT21_RS07300","iron-containing redox enzyme family protein","WP_054020939.1"
"lcl_NZ_CP166677.1_cds_WP_054020938.1_1449",NA,"ABFT21_RS07305","SDR family oxidoreductase","WP_054020938.1"
"lcl_NZ_CP166677.1_cds_WP_054020971.1_1450",NA,"ABFT21_RS07310","TRAP transporter TatT component family protein","WP_054020971.1"
"lcl_NZ_CP166677.1_cds_WP_231638159.1_1451",NA,"ABFT21_RS07315","ATP-binding protein","WP_231638159.1"
"lcl_NZ_CP166677.1_cds_WP_054020937.1_1452",NA,"ABFT21_RS07320","response regulator transcription factor","WP_054020937.1"
"lcl_NZ_CP166677.1_cds_WP_054020936.1_1453",NA,"ABFT21_RS07325","HlyD family secretion protein","WP_054020936.1"
"lcl_NZ_CP166677.1_cds_WP_082368394.1_1454",NA,"ABFT21_RS07330","peptidase domain-containing ABC transporter","WP_082368394.1"
"lcl_NZ_CP166677.1_cds_WP_054020935.1_1455","boxA","ABFT21_RS07335","benzoyl-CoA 2,3-epoxidase subunit BoxA","WP_054020935.1"
"lcl_NZ_CP166677.1_cds_WP_054020934.1_1456","boxB","ABFT21_RS07340","benzoyl-CoA 2,3-epoxidase subunit BoxB","WP_054020934.1"
"lcl_NZ_CP166677.1_cds_WP_054020933.1_1457","boxC","ABFT21_RS07345","2,3-epoxybenzoyl-CoA dihydrolase","WP_054020933.1"
"lcl_NZ_CP166677.1_cds_WP_054020932.1_1458",NA,"ABFT21_RS07350","helix-turn-helix transcriptional regulator","WP_054020932.1"
"lcl_NZ_CP166677.1_cds_WP_054020931.1_1459",NA,"ABFT21_RS07355","4-hydroxylaminobenzoate lyase","WP_054020931.1"
"lcl_NZ_CP166677.1_cds_WP_054020930.1_1460",NA,"ABFT21_RS07360","3,4-dehydroadipyl-CoA semialdehyde dehydrogenase","WP_054020930.1"
"lcl_NZ_CP166677.1_cds_WP_082368384.1_1461",NA,"ABFT21_RS07365","benzoate-CoA ligase family protein","WP_082368384.1"
"lcl_NZ_CP166677.1_cds_WP_054020929.1_1462",NA,"ABFT21_RS07370","alpha/beta fold hydrolase","WP_054020929.1"
"lcl_NZ_CP166677.1_cds_WP_054020928.1_1463",NA,"ABFT21_RS07375","ABC transporter substrate-binding protein","WP_054020928.1"
"lcl_NZ_CP166677.1_cds_WP_054020927.1_1464",NA,"ABFT21_RS07380","branched-chain amino acid ABC transporter permease","WP_054020927.1"
"lcl_NZ_CP166677.1_cds_WP_054020926.1_1465",NA,"ABFT21_RS07385","branched-chain amino acid ABC transporter permease","WP_054020926.1"
"lcl_NZ_CP166677.1_cds_WP_054020925.1_1466",NA,"ABFT21_RS07390","ABC transporter ATP-binding protein","WP_054020925.1"
"lcl_NZ_CP166677.1_cds_WP_231638158.1_1467",NA,"ABFT21_RS07395","ABC transporter ATP-binding protein","WP_231638158.1"
"lcl_NZ_CP166677.1_cds_WP_054020924.1_1468",NA,"ABFT21_RS07400","hypothetical protein","WP_054020924.1"
"lcl_NZ_CP166677.1_cds_WP_054020923.1_1469",NA,"ABFT21_RS07405","glutathione S-transferase family protein","WP_054020923.1"
"lcl_NZ_CP166677.1_cds_WP_054020922.1_1470",NA,"ABFT21_RS07410","glutathione S-transferase family protein","WP_054020922.1"
"lcl_NZ_CP166677.1_cds_WP_054020921.1_1471",NA,"ABFT21_RS07415","dihydrofolate reductase","WP_054020921.1"
"lcl_NZ_CP166677.1_cds_WP_054020920.1_1472",NA,"ABFT21_RS07420","GntR family transcriptional regulator","WP_054020920.1"
"lcl_NZ_CP166677.1_cds_WP_054020919.1_1473","scpA","ABFT21_RS07425","methylmalonyl-CoA mutase","WP_054020919.1"
"lcl_NZ_CP166677.1_cds_WP_054020918.1_1474",NA,"ABFT21_RS07430","GNAT family N-acetyltransferase","WP_054020918.1"
"lcl_NZ_CP166677.1_cds_WP_439951446.1_1475","meaB","ABFT21_RS07435","methylmalonyl Co-A mutase-associated GTPase MeaB","WP_439951446.1"
"lcl_NZ_CP166677.1_cds_WP_054020917.1_1476",NA,"ABFT21_RS07440","acyl-CoA carboxylase subunit beta","WP_054020917.1"
"lcl_NZ_CP166677.1_cds_WP_054020916.1_1477",NA,"ABFT21_RS07445","acetyl-CoA carboxylase biotin carboxylase subunit","WP_054020916.1"
"lcl_NZ_CP166677.1_cds_WP_054020915.1_1478",NA,"ABFT21_RS07450","VOC family protein","WP_054020915.1"
"lcl_NZ_CP166677.1_cds_WP_054020914.1_1479","yaaA","ABFT21_RS07455","peroxide stress protein YaaA","WP_054020914.1"
"lcl_NZ_CP166677.1_cds_WP_054020913.1_1480",NA,"ABFT21_RS07460","2OG-Fe(II) oxygenase","WP_054020913.1"
"lcl_NZ_CP166677.1_cds_WP_197284717.1_1481",NA,"ABFT21_RS07465","hypothetical protein","WP_197284717.1"
"lcl_NZ_CP166677.1_cds_WP_054021617.1_1482",NA,"ABFT21_RS07470","DEAD/DEAH box helicase","WP_054021617.1"
"lcl_NZ_CP166677.1_cds_WP_054021616.1_1483","ettA","ABFT21_RS07475","energy-dependent translational throttle protein EttA","WP_054021616.1"
"lcl_NZ_CP166677.1_cds_WP_054021615.1_1484",NA,"ABFT21_RS07480","zinc-dependent metalloprotease","WP_054021615.1"
"lcl_NZ_CP166677.1_cds_WP_054021614.1_1485",NA,"ABFT21_RS07485","hypothetical protein","WP_054021614.1"
"lcl_NZ_CP166677.1_cds_WP_054021613.1_1486",NA,"ABFT21_RS07490","hypothetical protein","WP_054021613.1"
"lcl_NZ_CP166677.1_cds_WP_054021612.1_1487",NA,"ABFT21_RS07495","hypothetical protein","WP_054021612.1"
"lcl_NZ_CP166677.1_cds_WP_054021611.1_1488",NA,"ABFT21_RS07500","aminopeptidase P family protein","WP_054021611.1"
"lcl_NZ_CP166677.1_cds_WP_054021610.1_1489",NA,"ABFT21_RS07505","TAXI family TRAP transporter solute-binding subunit","WP_054021610.1"
"lcl_NZ_CP166677.1_cds_WP_157549138.1_1490",NA,"ABFT21_RS07510","L,D-transpeptidase","WP_157549138.1"
"lcl_NZ_CP166677.1_cds_WP_231638204.1_1491",NA,"ABFT21_RS07515","hypothetical protein","WP_231638204.1"
"lcl_NZ_CP166677.1_cds_WP_054021609.1_1492",NA,"ABFT21_RS07520","hypothetical protein","WP_054021609.1"
"lcl_NZ_CP166677.1_cds_WP_054021608.1_1493",NA,"ABFT21_RS07525","M90 family metallopeptidase","WP_054021608.1"
"lcl_NZ_CP166677.1_cds_WP_054021607.1_1494",NA,"ABFT21_RS07530","xanthine dehydrogenase family protein molybdopterin-binding subunit","WP_054021607.1"
"lcl_NZ_CP166677.1_cds_WP_054021606.1_1495",NA,"ABFT21_RS07535","(2Fe-2S)-binding protein","WP_054021606.1"
"lcl_NZ_CP166677.1_cds_WP_054021605.1_1496",NA,"ABFT21_RS07540","FAD binding domain-containing protein","WP_054021605.1"
"lcl_NZ_CP166677.1_cds_WP_082368500.1_1497",NA,"ABFT21_RS07545","TetR/AcrR family transcriptional regulator","WP_082368500.1"
"lcl_NZ_CP166677.1_cds_WP_054021604.1_1498",NA,"ABFT21_RS07550","VOC family protein","WP_054021604.1"
"lcl_NZ_CP166677.1_cds_WP_054021603.1_1499",NA,"ABFT21_RS07555","FAD binding domain-containing protein","WP_054021603.1"
"lcl_NZ_CP166677.1_cds_WP_054021602.1_1500",NA,"ABFT21_RS07560","ABC transporter substrate-binding protein","WP_054021602.1"
"lcl_NZ_CP166677.1_cds_WP_054021621.1_1501",NA,"ABFT21_RS07565","branched-chain amino acid ABC transporter permease","WP_054021621.1"
"lcl_NZ_CP166677.1_cds_WP_231638202.1_1502",NA,"ABFT21_RS07570","branched-chain amino acid ABC transporter permease","WP_231638202.1"
"lcl_NZ_CP166677.1_cds_WP_054021601.1_1503",NA,"ABFT21_RS07575","ABC transporter ATP-binding protein","WP_054021601.1"
"lcl_NZ_CP166677.1_cds_WP_054021600.1_1504",NA,"ABFT21_RS07580","ABC transporter ATP-binding protein","WP_054021600.1"
"lcl_NZ_CP166677.1_cds_WP_082368498.1_1505",NA,"ABFT21_RS07585","lysylphosphatidylglycerol synthase domain-containing protein","WP_082368498.1"
"lcl_NZ_CP166677.1_cds_WP_054021599.1_1506",NA,"ABFT21_RS07590","GGDEF domain-containing protein","WP_054021599.1"
"lcl_NZ_CP166677.1_cds_WP_054021620.1_1507",NA,"ABFT21_RS07595","acyl-CoA thioesterase","WP_054021620.1"
"lcl_NZ_CP166677.1_cds_WP_054021598.1_1508",NA,"ABFT21_RS07600","HDOD domain-containing protein","WP_054021598.1"
"lcl_NZ_CP166677.1_cds_WP_305778301.1_1509",NA,"ABFT21_RS07605","TerB family tellurite resistance protein","WP_305778301.1"
"lcl_NZ_CP166677.1_cds_WP_054021597.1_1510",NA,"ABFT21_RS07610","TetR/AcrR family transcriptional regulator","WP_054021597.1"
"lcl_NZ_CP166677.1_cds_WP_054021596.1_1511",NA,"ABFT21_RS07615","YbaN family protein","WP_054021596.1"
"lcl_NZ_CP166677.1_cds_WP_054021595.1_1512",NA,"ABFT21_RS07620","bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase","WP_054021595.1"
"lcl_NZ_CP166677.1_cds_WP_054021594.1_1513",NA,"ABFT21_RS07625","LysR substrate-binding domain-containing protein","WP_054021594.1"
"lcl_NZ_CP166677.1_cds_WP_054021593.1_1514",NA,"ABFT21_RS07630","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054021593.1"
"lcl_NZ_CP166677.1_cds_WP_054021592.1_1515",NA,"ABFT21_RS07635","UxaA family hydrolase","WP_054021592.1"
"lcl_NZ_CP166677.1_cds_WP_054021591.1_1516",NA,"ABFT21_RS07640","NAD-dependent succinate-semialdehyde dehydrogenase","WP_054021591.1"
"lcl_NZ_CP166677.1_cds_WP_054021590.1_1517",NA,"ABFT21_RS07645","tartrate dehydrogenase","WP_054021590.1"
"lcl_NZ_CP166677.1_cds_WP_197284716.1_1518",NA,"ABFT21_RS07650","hypothetical protein","WP_197284716.1"
"lcl_NZ_CP166677.1_cds_WP_054021588.1_1519",NA,"ABFT21_RS07655","hypothetical protein","WP_054021588.1"
"lcl_NZ_CP166677.1_cds_WP_054021587.1_1520",NA,"ABFT21_RS07660","RES family NAD+ phosphorylase","WP_054021587.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS07665_1521",NA,"ABFT21_RS07665","IS1595 family transposase",NA
"lcl_NZ_CP166677.1_cds_WP_054021585.1_1522",NA,"ABFT21_RS07670","hypothetical protein","WP_054021585.1"
"lcl_NZ_CP166677.1_cds_WP_082368495.1_1523",NA,"ABFT21_RS07675","DUF3309 family protein","WP_082368495.1"
"lcl_NZ_CP166677.1_cds_WP_463938066.1_1524",NA,"ABFT21_RS07680","ProQ/FINO family protein","WP_463938066.1"
"lcl_NZ_CP166677.1_cds_WP_054022848.1_1525",NA,"ABFT21_RS07685","COG4315 family predicted lipoprotein","WP_054022848.1"
"lcl_NZ_CP166677.1_cds_WP_054022847.1_1526",NA,"ABFT21_RS07690","RNA polymerase sigma factor","WP_054022847.1"
"lcl_NZ_CP166677.1_cds_WP_054022846.1_1527",NA,"ABFT21_RS07695","anti-sigma factor family protein","WP_054022846.1"
"lcl_NZ_CP166677.1_cds_WP_054022845.1_1528",NA,"ABFT21_RS07700","VOC family protein","WP_054022845.1"
"lcl_NZ_CP166677.1_cds_WP_054022844.1_1529",NA,"ABFT21_RS07705","cation:proton antiporter","WP_054022844.1"
"lcl_NZ_CP166677.1_cds_WP_054022843.1_1530",NA,"ABFT21_RS07710","glutathione S-transferase N-terminal domain-containing protein","WP_054022843.1"
"lcl_NZ_CP166677.1_cds_WP_054022842.1_1531","lhpI","ABFT21_RS07715","bifunctional Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase","WP_054022842.1"
"lcl_NZ_CP166677.1_cds_WP_082368740.1_1532",NA,"ABFT21_RS07720","MFS transporter","WP_082368740.1"
"lcl_NZ_CP166677.1_cds_WP_054021156.1_1533",NA,"ABFT21_RS07725","acyloxyacyl hydrolase","WP_054021156.1"
"lcl_NZ_CP166677.1_cds_WP_054021157.1_1534",NA,"ABFT21_RS07730","M16 family metallopeptidase","WP_054021157.1"
"lcl_NZ_CP166677.1_cds_WP_054021158.1_1535",NA,"ABFT21_RS07735","hypothetical protein","WP_054021158.1"
"lcl_NZ_CP166677.1_cds_WP_054021159.1_1536",NA,"ABFT21_RS07740","AraC family transcriptional regulator","WP_054021159.1"
"lcl_NZ_CP166677.1_cds_WP_054021160.1_1537",NA,"ABFT21_RS07745","CaiB/BaiF CoA transferase family protein","WP_054021160.1"
"lcl_NZ_CP166677.1_cds_WP_054021161.1_1538",NA,"ABFT21_RS07750","lipid-transfer protein","WP_054021161.1"
"lcl_NZ_CP166677.1_cds_WP_054021162.1_1539",NA,"ABFT21_RS07755","MaoC family dehydratase N-terminal domain-containing protein","WP_054021162.1"
"lcl_NZ_CP166677.1_cds_WP_054021163.1_1540",NA,"ABFT21_RS07760","MaoC family dehydratase","WP_054021163.1"
"lcl_NZ_CP166677.1_cds_WP_054021164.1_1541",NA,"ABFT21_RS07765","PaaI family thioesterase","WP_054021164.1"
"lcl_NZ_CP166677.1_cds_WP_054021165.1_1542",NA,"ABFT21_RS07770","AMP-binding protein","WP_054021165.1"
"lcl_NZ_CP166677.1_cds_WP_082368423.1_1543",NA,"ABFT21_RS07775","PaaI family thioesterase","WP_082368423.1"
"lcl_NZ_CP166677.1_cds_WP_054021166.1_1544",NA,"ABFT21_RS07780","tripartite tricarboxylate transporter substrate binding protein","WP_054021166.1"
"lcl_NZ_CP166677.1_cds_WP_054021167.1_1545",NA,"ABFT21_RS07785","acyl-CoA dehydrogenase family protein","WP_054021167.1"
"lcl_NZ_CP166677.1_cds_WP_369691159.1_1546",NA,"ABFT21_RS07790","long-chain-fatty-acid--CoA ligase","WP_369691159.1"
"lcl_NZ_CP166677.1_cds_WP_054021168.1_1547",NA,"ABFT21_RS07795","SDR family oxidoreductase","WP_054021168.1"
"lcl_NZ_CP166677.1_cds_WP_054021169.1_1548",NA,"ABFT21_RS07800","enoyl-CoA hydratase/isomerase family protein","WP_054021169.1"
"lcl_NZ_CP166677.1_cds_WP_054021170.1_1549",NA,"ABFT21_RS07805","SDR family NAD(P)-dependent oxidoreductase","WP_054021170.1"
"lcl_NZ_CP166677.1_cds_WP_054021171.1_1550",NA,"ABFT21_RS07810","acyl-CoA dehydrogenase family protein","WP_054021171.1"
"lcl_NZ_CP166677.1_cds_WP_054021172.1_1551",NA,"ABFT21_RS07815","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054021172.1"
"lcl_NZ_CP166677.1_cds_WP_054021173.1_1552",NA,"ABFT21_RS07820","thiolase domain-containing protein","WP_054021173.1"
"lcl_NZ_CP166677.1_cds_WP_231638174.1_1553",NA,"ABFT21_RS07825","Zn-ribbon domain-containing OB-fold protein","WP_231638174.1"
"lcl_NZ_CP166677.1_cds_WP_054021174.1_1554",NA,"ABFT21_RS07830","hypothetical protein","WP_054021174.1"
"lcl_NZ_CP166677.1_cds_WP_054021175.1_1555",NA,"ABFT21_RS07835","tetratricopeptide repeat protein","WP_054021175.1"
"lcl_NZ_CP166677.1_cds_WP_054021176.1_1556",NA,"ABFT21_RS07840","hypothetical protein","WP_054021176.1"
"lcl_NZ_CP166677.1_cds_WP_082368431.1_1557",NA,"ABFT21_RS07845","NAD(P)/FAD-dependent oxidoreductase","WP_082368431.1"
"lcl_NZ_CP166677.1_cds_WP_054021177.1_1558",NA,"ABFT21_RS07850","Fic family protein","WP_054021177.1"
"lcl_NZ_CP166677.1_cds_WP_054021178.1_1559",NA,"ABFT21_RS07855","MOSC domain-containing protein","WP_054021178.1"
"lcl_NZ_CP166677.1_cds_WP_439951448.1_1560",NA,"ABFT21_RS07860","efflux transporter outer membrane subunit","WP_439951448.1"
"lcl_NZ_CP166677.1_cds_WP_054021179.1_1561",NA,"ABFT21_RS07865","efflux RND transporter permease subunit","WP_054021179.1"
"lcl_NZ_CP166677.1_cds_WP_054021180.1_1562",NA,"ABFT21_RS07870","efflux RND transporter permease subunit","WP_054021180.1"
"lcl_NZ_CP166677.1_cds_WP_082368425.1_1563",NA,"ABFT21_RS07875","efflux RND transporter periplasmic adaptor subunit","WP_082368425.1"
"lcl_NZ_CP166677.1_cds_WP_054021181.1_1564",NA,"ABFT21_RS07880","thioredoxin family protein","WP_054021181.1"
"lcl_NZ_CP166677.1_cds_WP_054021182.1_1565",NA,"ABFT21_RS07885","acyl-CoA thioesterase","WP_054021182.1"
"lcl_NZ_CP166677.1_cds_WP_054021183.1_1566",NA,"ABFT21_RS07890","feruloyl-CoA synthase","WP_054021183.1"
"lcl_NZ_CP166677.1_cds_WP_082368426.1_1567",NA,"ABFT21_RS07895","TetR/AcrR family transcriptional regulator","WP_082368426.1"
"lcl_NZ_CP166677.1_cds_WP_054021184.1_1568",NA,"ABFT21_RS07900","hypothetical protein","WP_054021184.1"
"lcl_NZ_CP166677.1_cds_WP_054021185.1_1569",NA,"ABFT21_RS07905","cyclic nucleotide-binding domain-containing protein","WP_054021185.1"
"lcl_NZ_CP166677.1_cds_WP_054021186.1_1570",NA,"ABFT21_RS07910","glycoside hydrolase family 19 protein","WP_054021186.1"
"lcl_NZ_CP166677.1_cds_WP_054021187.1_1571",NA,"ABFT21_RS07915","GGDEF domain-containing protein","WP_054021187.1"
"lcl_NZ_CP166677.1_cds_WP_054021188.1_1572",NA,"ABFT21_RS07920","response regulator","WP_054021188.1"
"lcl_NZ_CP166677.1_cds_WP_054021189.1_1573",NA,"ABFT21_RS07925","DUF4118 domain-containing protein","WP_054021189.1"
"lcl_NZ_CP166677.1_cds_WP_054021190.1_1574",NA,"ABFT21_RS07930","magnesium and cobalt transport protein CorA","WP_054021190.1"
"lcl_NZ_CP166677.1_cds_WP_054021191.1_1575","kdpC","ABFT21_RS07935","potassium-transporting ATPase subunit KdpC","WP_054021191.1"
